algorithm,distribution,N,U,time_ms,throughput_mkeys_per_s,speedup_vs_std_sort,correct,best_run_index
std::stable_sort,skewed,10000000,65536,4124.166,2.425,0.840,OK,0
DialSort-Counting,sorted,10000000,65536,121.365,82.396,16.132,OK,5
DialSort-Parallel,sorted,10000000,65536,94.842,105.439,20.644,OK,1
std::sort,sorted,10000000,65536,1957.880,5.108,1.000,OK,4
std::stable_sort,sorted,10000000,65536,1832.869,5.456,1.068,OK,0
DialSort-Counting,reverse,10000000,65536,121.546,82.274,16.959,OK,5
DialSort-Parallel,reverse,10000000,65536,96.142,104.013,21.440,OK,1
std::sort,reverse,10000000,65536,2061.244,4.851,1.000,OK,0
std::stable_sort,reverse,10000000,65536,1976.240,5.060,1.043,OK,5
DialSort-Radix,full_int,10000,-1,0.250,40.064,9.520,OK,4
std::sort,full_int,10000,-1,2.376,4.208,1.000,OK,6
DialSort-Radix,full_int,100000,-1,2.884,34.679,10.616,OK,6
std::sort,full_int,100000,-1,30.613,3.267,1.000,OK,0
DialSort-Radix,full_int,1000000,-1,27.262,36.681,13.183,OK,4
std::sort,full_int,1000000,-1,359.409,2.782,1.000,OK,6
DialSort-Radix,full_int,10000000,-1,261.983,38.170,14.608,OK,5
std::sort,full_int,10000000,-1,3827.103,2.613,1.000,OK,5

Process finished with exit code 0
